ECG,EDA
508,0
508,0
507,0
508,0
508,0
508,0
509,0
509,0
510,0
509,0
508,0
509,0
509,0
510,0
510,0
511,0
510,0
510,0
510,0
511,0
511,0
512,0
513,0
512,0
511,0
512,0
514,0
514,0
513,0
512,0
510,0
509,0
510,0
508,0
507,0
507,0
508,0
509,0
509,0
508,0
507,0
508,0
510,0
509,0
509,0
510,0
510,0
508,0
509,0
508,0
507,0
507,0
507,0
508,0
510,0
510,0
510,0
510,0
511,0
510,0
509,0
511,0
509,0
509,0
507,0
507,0
507,0
508,0
506,0
507,0
507,0
509,0
508,0
508,0
509,0
509,0
509,0
509,0
510,0
510,0
509,0
509,0
507,0
508,0
508,0
510,0
510,0
510,0
509,0
508,0
506,0
505,0
506,0
505,0
506,0
508,0
508,0
508,0
509,0
512,0
512,0
512,0
511,0
512,0
511,0
509,0
510,0
512,0
509,0
508,0
507,0
508,0
508,0
510,0
510,0
509,0
508,0
509,0
509,0
511,0
510,0
510,0
511,0
510,0
511,0
509,0
508,0
510,0
510,0
510,0
510,0
510,0
509,0
509,0
509,0
509,0
508,0
510,0
509,0
509,0
508,0
507,0
505,0
507,0
507,0
508,0
509,0
509,0
508,0
507,0
507,0
508,0
509,0
509,0
511,0
508,0
508,0
508,0
510,0
510,0
510,0
512,0
511,0
511,0
511,0
511,0
511,0
512,0
511,0
508,0
510,0
511,0
512,0
512,0
511,0
510,0
511,0
508,0
510,0
509,0
508,0
508,0
508,0
510,0
510,0
511,0
510,0
509,0
510,0
509,0
510,0
512,0
512,0
512,0
511,0
510,0
511,0
511,0
511,0
510,0
511,0
512,0
512,0
512,0
510,0
509,0
510,0
512,0
514,0
512,0
514,0
514,0
513,0
512,0
511,0
511,0
510,0
509,0
508,0
509,0
509,0
508,0
509,0
510,0
509,0
509,0
511,0
509,0
509,0
509,0
508,0
508,0
508,0
508,0
511,0
511,0
511,0
509,0
509,0
509,0
508,0
508,0
508,0
509,0
509,0
507,0
508,0
508,0
510,0
508,0
508,0
508,0
508,0
509,0
509,0
510,0
510,0
511,0
511,0
511,0
511,0
510,0
510,0
509,0
509,0
511,0
510,0
510,0
508,0
508,0
508,0
509,0
509,0
510,0
511,0
511,0
509,0
509,0
510,0
510,0
510,0
510,0
509,0
509,0
510,0
509,0
511,0
512,0
512,0
511,0
510,0
510,0
509,0
510,0
509,0
508,0
508,0
510,0
511,0
511,0
511,0
510,0
510,0
509,0
508,0
509,0
509,0
509,0
510,0
511,0
511,0
511,0
512,0
511,0
511,0
510,0
510,0
509,0
509,0
509,0
509,0
510,0
510,0
509,0
508,0
505,0
504,0
504,0
506,0
505,0
504,0
503,0
504,0
504,0
505,0
507,0
508,0
509,0
509,0
508,0
509,0
510,0
510,0
509,0
508,0
508,0
508,0
508,0
508,0
510,0
508,0
507,0
506,0
508,0
508,0
509,0
510,0
509,0
509,0
508,0
509,0
509,0
510,0
510,0
511,0
511,0
510,0
509,0
510,0
510,0
508,0
507,0
507,0
508,0
508,0
509,0
508,0
509,0
508,0
509,0
508,0
508,0
509,0
510,0
508,0
510,0
511,0
512,0
511,0
511,0
509,0
509,0
508,0
509,0
508,0
508,0
510,0
508,0
509,0
509,0
509,0
508,0
510,0
512,0
511,0
512,0
510,0
508,0
509,0
510,0
511,0
512,0
511,0
511,0
511,0
510,0
509,0
508,0
510,0
510,0
508,0
508,0
508,0
509,0
509,0
509,0
510,0
510,0
510,0
509,0
509,0
509,0
508,0
508,0
506,0
507,0
507,0
506,0
507,0
508,0
510,0
508,0
508,0
508,0
507,0
508,0
509,0
509,0
510,0
510,0
510,0
510,0
509,0
508,0
507,0
508,0
508,0
509,0
509,0
510,0
510,0
511,0
511,0
511,0
509,0
509,0
510,0
511,0
511,0
510,0
509,0
510,0
509,0
509,0
508,0
510,0
510,0
511,0
511,0
511,0
511,0
510,0
509,0
508,0
508,0
509,0
509,0
508,0
509,0
508,0
507,0
508,0
508,0
508,0
507,0
506,0
506,0
507,0
508,0
510,0
509,0
509,0
510,0
510,0
510,0
509,0
511,0
512,0
512,0
511,0
508,0
507,0
507,0
507,0
508,0
508,0
506,0
508,0
508,0
510,0
511,0
511,0
512,0
511,0
512,0
512,0
511,0
510,0
509,0
509,0
508,0
510,0
510,0
511,0
510,0
511,0
511,0
509,0
508,0
508,0
508,0
510,0
511,0
512,0
510,0
510,0
510,0
512,0
512,0
512,0
511,0
511,0
508,0
509,0
508,0
510,0
509,0
511,0
511,0
512,0
513,0
514,0
513,0
511,0
510,0
511,0
511,0
509,0
506,0
506,0
506,0
507,0
508,0
508,0
509,0
508,0
508,0
509,0
510,0
509,0
508,0
507,0
508,0
510,0
508,0
506,0
508,0
507,0
509,0
506,0
505,0
505,0
507,0
508,0
507,0
506,0
505,0
505,0
506,0
507,0
508,0
510,0
511,0
512,0
512,0
509,0
510,0
510,0
509,0
509,0
509,0
508,0
507,0
506,0
506,0
507,0
508,0
508,0
509,0
510,0
511,0
512,0
511,0
511,0
510,0
511,0
510,0
508,0
508,0
508,0
507,0
509,0
509,0
510,0
509,0
511,0
511,0
512,0
510,0
511,0
510,0
509,0
509,0
509,0
511,0
510,0
511,0
511,0
512,0
511,0
509,0
507,0
506,0
507,0
506,0
506,0
506,0
508,0
507,0
508,0
508,0
508,0
508,0
509,0
509,0
511,0
511,0
511,0
511,0
510,0
510,0
509,0
510,0
510,0
509,0
509,0
510,0
512,0
512,0
512,0
510,0
511,0
509,0
510,0
510,0
510,0
509,0
509,0
511,0
508,0
508,0
507,0
505,0
507,0
507,0
509,0
508,0
507,0
505,0
505,0
506,0
507,0
509,0
509,0
509,0
510,0
510,0
512,0
511,0
510,0
509,0
509,0
510,0
508,0
508,0
506,0
507,0
509,0
508,0
507,0
506,0
506,0
507,0
508,0
508,0
509,0
508,0
508,0
509,0
511,0
510,0
509,0
509,0
509,0
510,0
508,0
509,0
509,0
511,0
511,0
512,0
512,0
511,0
511,0
509,0
508,0
508,0
509,0
509,0
508,0
508,0
507,0
507,0
506,0
507,0
508,0
508,0
508,0
511,0
509,0
509,0
511,0
511,0
511,0
510,0
512,0
511,0
511,0
512,0
511,0
511,0
512,0
511,0
511,0
511,0
511,0
510,0
510,0
510,0
511,0
512,0
511,0
512,0
511,0
509,0
510,0
510,0
511,0
512,0
512,0
510,0
511,0
511,0
511,0
511,0
511,0
510,0
509,0
508,0
507,0
508,0
507,0
507,0
507,0
508,0
508,0
508,0
509,0
509,0
509,0
509,0
508,0
507,0
510,0
511,0
511,0
510,0
509,0
509,0
510,0
510,0
508,0
508,0
509,0
509,0
509,0
509,0
510,0
509,0
510,0
508,0
509,0
508,0
508,0
510,0
509,0
508,0
508,0
508,0
507,0
507,0
505,0
507,0
506,0
506,0
508,0
508,0
509,0
511,0
511,0
509,0
509,0
508,0
509,0
508,0
509,0
507,0
509,0
509,0
508,0
511,0
510,0
510,0
508,0
508,0
508,0
508,0
507,0
508,0
508,0
509,0
508,0
507,0
506,0
507,0
508,0
506,0
508,0
509,0
510,0
510,0
510,0
511,0
511,0
511,0
508,0
509,0
509,0
510,0
510,0
509,0
510,0
507,0
509,0
509,0
511,0
511,0
511,0
510,0
508,0
506,0
507,0
508,0
509,0
509,0
508,0
507,0
508,0
509,0
509,0
508,0
507,0
508,0
507,0
509,0
511,0
510,0
510,0
511,0
510,0
511,0
511,0
511,0
510,0
510,0
510,0
508,0
509,0
511,0
510,0
510,0
510,0
509,0
510,0
508,0
510,0
510,0
510,0
510,0
509,0
510,0
511,0
511,0
511,0
510,0
508,0
508,0
508,0
510,0
509,0
509,0
510,0
511,0
511,0
511,0
511,0
512,0
512,0
511,0
512,0
512,0
512,0
512,0
512,0
511,0
509,0
510,0
511,0
510,0
509,0
509,0
511,0
511,0
511,0
511,0
510,0
508,0
510,0
511,0
509,0
509,0
508,0
508,0
509,0
508,0
508,0
509,0
510,0
511,0
508,0
505,0
507,0
507,0
508,0
509,0
509,0
509,0
510,0
510,0
509,0
508,0
509,0
509,0
509,0
508,0
510,0
509,0
509,0
510,0
510,0
511,0
510,0
510,0
511,0
511,0
511,0
510,0
511,0
510,0
511,0
510,0
509,0
508,0
509,0
508,0
507,0
507,0
505,0
506,0
507,0
507,0
508,0
508,0
506,0
508,0
508,0
509,0
510,0
510,0
511,0
510,0
510,0
511,0
511,0
510,0
510,0
510,0
510,0
511,0
510,0
512,0
511,0
511,0
511,0
511,0
510,0
510,0
510,0
510,0
510,0
509,0
509,0
509,0
510,0
510,0
510,0
510,0
510,0
510,0
511,0
511,0
510,0
507,0
508,0
508,0
508,0
509,0
508,0
509,0
510,0
510,0
510,0
509,0
509,0
509,0
510,0
509,0
510,0
509,0
509,0
509,0
510,0
511,0
509,0
509,0
508,0
508,0
506,0
508,0
507,0
507,0
508,0
508,0
510,0
510,0
511,0
510,0
509,0
509,0
508,0
509,0
507,0
506,0
508,0
508,0
508,0
508,0
510,0
510,0
510,0
508,0
508,0
509,0
510,0
509,0
510,0
509,0
507,0
508,0
508,0
507,0
509,0
509,0
508,0
507,0
508,0
508,0
507,0
506,0
506,0
507,0
507,0
508,0
507,0
506,0
504,0
504,0
505,0
506,0
507,0
507,0
508,0
510,0
511,0
510,0
511,0
510,0
509,0
509,0
510,0
510,0
510,0
511,0
510,0
510,0
510,0
510,0
510,0
510,0
511,0
511,0
510,0
509,0
509,0
510,0
510,0
509,0
508,0
508,0
509,0
509,0
507,0
508,0
509,0
508,0
510,0
511,0
510,0
510,0
510,0
509,0
508,0
507,0
508,0
508,0
507,0
508,0
507,0
508,0
508,0
508,0
509,0
508,0
507,0
506,0
508,0
508,0
510,0
510,0
511,0
511,0
510,0
509,0
510,0
510,0
511,0
510,0
510,0
510,0
509,0
509,0
510,0
509,0
510,0
510,0
509,0
510,0
509,0
511,0
510,0
509,0
508,0
507,0
507,0
508,0
508,0
508,0
509,0
507,0
508,0
508,0
507,0
506,0
508,0
508,0
508,0
508,0
509,0
511,0
511,0
510,0
507,0
509,0
509,0
507,0
506,0
507,0
510,0
511,0
510,0
508,0
508,0
507,0
508,0
510,0
509,0
509,0
509,0
510,0
508,0
507,0
507,0
508,0
507,0
507,0
508,0
508,0
510,0
510,0
511,0
510,0
510,0
510,0
510,0
510,0
508,0
508,0
507,0
509,0
509,0
509,0
510,0
510,0
511,0
509,0
509,0
511,0
512,0
510,0
510,0
510,0
509,0
510,0
511,0
511,0
511,0
513,0
512,0
509,0
509,0
511,0
511,0
511,0
510,0
509,0
510,0
510,0
509,0
509,0
507,0
507,0
508,0
508,0
508,0
509,0
509,0
508,0
509,0
509,0
511,0
510,0
510,0
510,0
510,0
509,0
509,0
509,0
508,0
509,0
508,0
508,0
508,0
508,0
508,0
509,0
510,0
509,0
510,0
509,0
508,0
510,0
510,0
509,0
509,0
509,0
508,0
509,0
508,0
510,0
511,0
512,0
511,0
511,0
510,0
510,0
509,0
510,0
510,0
509,0
509,0
508,0
506,0
507,0
507,0
508,0
510,0
510,0
510,0
509,0
508,0
506,0
507,0
508,0
507,0
508,0
509,0
508,0
508,0
508,0
508,0
508,0
508,0
506,0
507,0
507,0
506,0
507,0
507,0
508,0
510,0
510,0
510,0
511,0
511,0
508,0
509,0
508,0
510,0
508,0
506,0
506,0
508,0
508,0
509,0
508,0
510,0
509,0
512,0
513,0
511,0
511,0
511,0
509,0
510,0
510,0
508,0
508,0
508,0
510,0
508,0
508,0
507,0
507,0
507,0
506,0
507,0
508,0
509,0
510,0
510,0
509,0
510,0
509,0
510,0
511,0
510,0
508,0
508,0
508,0
508,0
509,0
508,0
508,0
508,0
508,0
509,0
509,0
509,0
511,0
511,0
510,0
510,0
511,0
511,0
511,0
510,0
510,0
509,0
508,0
510,0
510,0
509,0
508,0
510,0
511,0
510,0
510,0
510,0
510,0
510,0
510,0
511,0
511,0
510,0
510,0
511,0
510,0
508,0
508,0
510,0
512,0
512,0
510,0
509,0
509,0
508,0
508,0
510,0
512,0
512,0
514,0
512,0
513,0
513,0
512,0
512,0
512,0
511,0
512,0
510,0
509,0
508,0
508,0
508,0
509,0
511,0
510,0
509,0
510,0
511,0
511,0
512,0
512,0
509,0
510,0
510,0
510,0
510,0
510,0
510,0
510,0
510,0
511,0
511,0
512,0
513,0
512,0
514,0
514,0
511,0
510,0
512,0
511,0
512,0
512,0
511,0
510,0
511,0
510,0
510,0
510,0
509,0
511,0
509,0
509,0
510,0
511,0
511,0
511,0
512,0
512,0
512,0
512,0
511,0
508,0
507,0
507,0
508,0
509,0
512,0
512,0
510,0
507,0
508,0
508,0
509,0
507,0
508,0
508,0
509,0
510,0
510,0
509,0
510,0
509,0
508,0
508,0
506,0
506,0
507,0
507,0
507,0
509,0
510,0
510,0
511,0
511,0
511,0
511,0
511,0
510,0
509,0
510,0
510,0
509,0
509,0
510,0
509,0
510,0
509,0
509,0
507,0
509,0
508,0
507,0
509,0
509,0
507,0
508,0
507,0
506,0
507,0
506,0
504,0
505,0
507,0
507,0
507,0
507,0
507,0
508,0
508,0
508,0
510,0
509,0
509,0
508,0
509,0
510,0
512,0
511,0
510,0
508,0
509,0
508,0
510,0
508,0
509,0
510,0
509,0
511,0
512,0
513,0
512,0
510,0
510,0
510,0
510,0
511,0
510,0
510,0
510,0
510,0
509,0
509,0
510,0
509,0
510,0
510,0
509,0
509,0
508,0
507,0
508,0
510,0
510,0
511,0
511,0
512,0
511,0
511,0
509,0
509,0
509,0
508,0
510,0
509,0
509,0
510,0
508,0
508,0
507,0
507,0
508,0
509,0
506,0
507,0
507,0
508,0
507,0
508,0
510,0
509,0
509,0
510,0
509,0
507,0
508,0
506,0
505,0
505,0
507,0
506,0
508,0
509,0
510,0
510,0
510,0
511,0
512,0
510,0
508,0
510,0
509,0
508,0
508,0
508,0
509,0
510,0
508,0
508,0
508,0
509,0
509,0
509,0
509,0
510,0
512,0
511,0
511,0
511,0
510,0
510,0
511,0
510,0
510,0
512,0
512,0
513,0
510,0
510,0
510,0
509,0
509,0
508,0
506,0
506,0
507,0
505,0
507,0
507,0
509,0
509,0
511,0
512,0
512,0
511,0
512,0
513,0
513,0
511,0
509,0
508,0
508,0
507,0
505,0
507,0
507,0
508,0
508,0
508,0
509,0
511,0
512,0
511,0
511,0
511,0
512,0
512,0
512,0
510,0
508,0
511,0
509,0
510,0
511,0
512,0
511,0
512,0
513,0
511,0
510,0
509,0
510,0
510,0
509,0
509,0
509,0
509,0
509,0
509,0
508,0
507,0
506,0
508,0
509,0
508,0
509,0
508,0
509,0
510,0
508,0
508,0
509,0
511,0
512,0
510,0
508,0
509,0
508,0
508,0
508,0
505,0
507,0
505,0
504,0
506,0
507,0
507,0
508,0
508,0
508,0
510,0
511,0
511,0
509,0
508,0
507,0
507,0
508,0
507,0
505,0
505,0
505,0
505,0
506,0
504,0
506,0
506,0
506,0
508,0
509,0
509,0
510,0
509,0
510,0
511,0
511,0
511,0
511,0
510,0
509,0
508,0
507,0
508,0
511,0
512,0
511,0
511,0
510,0
509,0
511,0
511,0
511,0
512,0
511,0
510,0
509,0
510,0
510,0
510,0
509,0
507,0
507,0
509,0
510,0
510,0
508,0
508,0
507,0
507,0
508,0
508,0
510,0
508,0
508,0
508,0
508,0
508,0
506,0
505,0
505,0
506,0
507,0
507,0
508,0
509,0
510,0
510,0
509,0
509,0
507,0
507,0
509,0
507,0
507,0
508,0
509,0
509,0
509,0
510,0
509,0
509,0
510,0
511,0
510,0
509,0
510,0
511,0
510,0
510,0
508,0
508,0
507,0
508,0
510,0
509,0
510,0
510,0
508,0
508,0
506,0
507,0
509,0
510,0
508,0
508,0
508,0
509,0
507,0
508,0
508,0
508,0
508,0
508,0
506,0
506,0
508,0
509,0
509,0
509,0
510,0
510,0
511,0
512,0
512,0
512,0
512,0
513,0
512,0
511,0
511,0
510,0
511,0
510,0
511,0
511,0
511,0
512,0
511,0
510,0
509,0
507,0
507,0
508,0
509,0
509,0
510,0
510,0
510,0
511,0
510,0
509,0
509,0
507,0
507,0
507,0
509,0
508,0
509,0
508,0
508,0
509,0
510,0
508,0
511,0
511,0
510,0
508,0
508,0
509,0
507,0
507,0
506,0
507,0
510,0
511,0
509,0
508,0
509,0
510,0
510,0
509,0
509,0
509,0
509,0
509,0
509,0
510,0
510,0
510,0
510,0
509,0
510,0
510,0
511,0
512,0
510,0
509,0
509,0
508,0
507,0
508,0
509,0
508,0
507,0
507,0
508,0
508,0
509,0
511,0
510,0
511,0
511,0
510,0
510,0
508,0
510,0
511,0
511,0
509,0
507,0
507,0
508,0
509,0
510,0
510,0
509,0
510,0
511,0
511,0
512,0
512,0
511,0
510,0
508,0
507,0
507,0
507,0
505,0
509,0
510,0
511,0
512,0
511,0
512,0
512,0
509,0
510,0
509,0
510,0
510,0
509,0
510,0
510,0
511,0
512,0
512,0
514,0
513,0
512,0
512,0
513,0
512,0
513,0
512,0
510,0
512,0
512,0
512,0
511,0
511,0
509,0
509,0
510,0
509,0
509,0
510,0
510,0
511,0
512,0
511,0
510,0
510,0
509,0
508,0
510,0
511,0
512,0
512,0
512,0
510,0
509,0
510,0
510,0
509,0
509,0
508,0
508,0
507,0
507,0
508,0
509,0
509,0
510,0
511,0
509,0
509,0
510,0
510,0
508,0
508,0
508,0
508,0
510,0
509,0
507,0
508,0
508,0
507,0
507,0
506,0
505,0
507,0
507,0
506,0
508,0
508,0
509,0
511,0
511,0
509,0
509,0
509,0
509,0
510,0
509,0
509,0
509,0
510,0
508,0
508,0
510,0
510,0
509,0
509,0
506,0
508,0
508,0
508,0
508,0
508,0
508,0
509,0
509,0
508,0
506,0
506,0
507,0
508,0
508,0
508,0
507,0
506,0
507,0
507,0
509,0
509,0
509,0
508,0
506,0
507,0
506,0
507,0
508,0
507,0
507,0
507,0
507,0
508,0
509,0
507,0
507,0
509,0
510,0
509,0
508,0
508,0
507,0
507,0
508,0
508,0
509,0
509,0
511,0
510,0
509,0
510,0
509,0
509,0
510,0
510,0
512,0
512,0
511,0
511,0
510,0
508,0
508,0
507,0
508,0
507,0
508,0
507,0
508,0
508,0
508,0
507,0
509,0
509,0
508,0
507,0
510,0
511,0
510,0
511,0
510,0
510,0
512,0
513,0
512,0
511,0
510,0
509,0
509,0
510,0
512,0
510,0
509,0
507,0
509,0
509,0
511,0
509,0
508,0
508,0
508,0
509,0
508,0
508,0
508,0
508,0
507,0
507,0
508,0
508,0
507,0
508,0
509,0
510,0
510,0
508,0
508,0
508,0
508,0
511,0
512,0
512,0
512,0
514,0
513,0
512,0
512,0
511,0
511,0
512,0
511,0
511,0
511,0
511,0
509,0
510,0
510,0
509,0
507,0
507,0
508,0
507,0
510,0
510,0
509,0
507,0
509,0
510,0
509,0
509,0
510,0
510,0
511,0
510,0
510,0
509,0
508,0
508,0
508,0
507,0
508,0
509,0
512,0
511,0
512,0
510,0
510,0
510,0
508,0
509,0
509,0
509,0
510,0
509,0
510,0
510,0
510,0
509,0
507,0
507,0
508,0
509,0
508,0
508,0
509,0
510,0
510,0
511,0
511,0
511,0
510,0
508,0
508,0
508,0
507,0
506,0
505,0
504,0
505,0
507,0
507,0
508,0
508,0
508,0
509,0
511,0
511,0
512,0
509,0
509,0
509,0
509,0
507,0
506,0
506,0
507,0
506,0
507,0
507,0
507,0
508,0
510,0
511,0
511,0
511,0
511,0
512,0
512,0
510,0
511,0
512,0
511,0
509,0
509,0
509,0
510,0
511,0
511,0
509,0
512,0
512,0
512,0
512,0
512,0
513,0
512,0
511,0
510,0
509,0
509,0
509,0
510,0
511,0
511,0
513,0
512,0
511,0
511,0
510,0
510,0
508,0
508,0
510,0
512,0
512,0
511,0
511,0
512,0
510,0
510,0
512,0
510,0
510,0
508,0
511,0
511,0
510,0
510,0
510,0
510,0
511,0
511,0
509,0
510,0
511,0
512,0
511,0
512,0
512,0
512,0
511,0
511,0
511,0
510,0
510,0
510,0
508,0
508,0
508,0
508,0
507,0
508,0
509,0
511,0
511,0
511,0
511,0
508,0
510,0
510,0
511,0
510,0
508,0
507,0
508,0
508,0
509,0
508,0
507,0
506,0
506,0
507,0
509,0
509,0
508,0
510,0
510,0
509,0
510,0
511,0
511,0
510,0
508,0
507,0
507,0
507,0
507,0
507,0
507,0
508,0
510,0
511,0
513,0
512,0
511,0
508,0
507,0
509,0
508,0
508,0
507,0
508,0
509,0
510,0
508,0
508,0
509,0
511,0
512,0
511,0
511,0
510,0
510,0
511,0
512,0
512,0
511,0
511,0
511,0
512,0
511,0
509,0
509,0
509,0
507,0
508,0
507,0
506,0
507,0
506,0
505,0
508,0
510,0
507,0
507,0
507,0
506,0
505,0
506,0
507,0
507,0
505,0
506,0
506,0
507,0
507,0
506,0
507,0
505,0
508,0
508,0
509,0
508,0
507,0
508,0
507,0
508,0
508,0
509,0
509,0
509,0
508,0
507,0
509,0
508,0
508,0
508,0
508,0
507,0
508,0
509,0
508,0
510,0
511,0
513,0
513,0
513,0
512,0
512,0
510,0
508,0
508,0
508,0
507,0
507,0
508,0
508,0
508,0
509,0
509,0
509,0
508,0
509,0
510,0
510,0
511,0
510,0
510,0
510,0
509,0
509,0
508,0
508,0
508,0
510,0
511,0
512,0
513,0
512,0
511,0
509,0
507,0
508,0
507,0
507,0
506,0
507,0
506,0
507,0
508,0
507,0
508,0
507,0
506,0
508,0
508,0
508,0
509,0
506,0
507,0
506,0
508,0
508,0
508,0
507,0
506,0
507,0
507,0
508,0
508,0
506,0
505,0
508,0
508,0
508,0
509,0
507,0
507,0
508,0
509,0
509,0
509,0
508,0
507,0
507,0
506,0
507,0
507,0
508,0
510,0
510,0
512,0
512,0
512,0
511,0
511,0
512,0
511,0
511,0
510,0
510,0
510,0
511,0
512,0
511,0
508,0
510,0
511,0
511,0
510,0
509,0
509,0
510,0
508,0
509,0
509,0
508,0
511,0
510,0
510,0
511,0
510,0
509,0
508,0
510,0
510,0
510,0
509,0
508,0
508,0
509,0
509,0
510,0
509,0
509,0
509,0
510,0
511,0
510,0
510,0
511,0
511,0
511,0
511,0
510,0
509,0
508,0
509,0
508,0
510,0
511,0
510,0
510,0
510,0
510,0
510,0
509,0
508,0
508,0
510,0
510,0
508,0
511,0
511,0
510,0
511,0
510,0
510,0
507,0
506,0
507,0
507,0
507,0
508,0
507,0
507,0
505,0
503,0
504,0
504,0
504,0
505,0
505,0
506,0
509,0
508,0
505,0
508,0
509,0
510,0
509,0
510,0
510,0
510,0
510,0
511,0
511,0
511,0
509,0
508,0
511,0
511,0
510,0
510,0
511,0
511,0
509,0
509,0
508,0
511,0
510,0
511,0
512,0
511,0
510,0
510,0
511,0
512,0
510,0
510,0
509,0
511,0
512,0
511,0
510,0
510,0
510,0
508,0
509,0
510,0
511,0
510,0
510,0
509,0
509,0
510,0
509,0
510,0
511,0
512,0
512,0
513,0
512,0
511,0
513,0
512,0
511,0
510,0
511,0
511,0
510,0
509,0
509,0
509,0
509,0
509,0
509,0
508,0
508,0
508,0
510,0
508,0
508,0
508,0
508,0
508,0
507,0
508,0
508,0
508,0
508,0
508,0
509,0
508,0
510,0
508,0
508,0
508,0
508,0
507,0
506,0
507,0
508,0
510,0
510,0
510,0
511,0
510,0
510,0
511,0
508,0
509,0
509,0
509,0
509,0
509,0
509,0
509,0
510,0
509,0
508,0
508,0
508,0
508,0
510,0
510,0
511,0
509,0
509,0
510,0
509,0
509,0
509,0
510,0
508,0
508,0
508,0
508,0
508,0
508,0
508,0
509,0
509,0
509,0
509,0
510,0
510,0
509,0
509,0
509,0
508,0
507,0
507,0
507,0
509,0
508,0
508,0
509,0
509,0
510,0
510,0
509,0
509,0
511,0
511,0
511,0
510,0
510,0
510,0
509,0
508,0
508,0
508,0
508,0
508,0
508,0
509,0
509,0
510,0
509,0
510,0
510,0
510,0
510,0
511,0
510,0
510,0
508,0
509,0
510,0
510,0
510,0
511,0
511,0
510,0
510,0
509,0
508,0
507,0
508,0
507,0
507,0
507,0
507,0
506,0
508,0
510,0
510,0
508,0
508,0
507,0
508,0
509,0
507,0
507,0
509,0
509,0
508,0
508,0
507,0
508,0
508,0
507,0
507,0
507,0
507,0
508,0
510,0
511,0
509,0
509,0
508,0
507,0
507,0
508,0
508,0
508,0
507,0
507,0
508,0
507,0
507,0
508,0
509,0
510,0
509,0
508,0
508,0
509,0
509,0
509,0
508,0
509,0
509,0
510,0
510,0
511,0
512,0
511,0
511,0
510,0
510,0
509,0
507,0
508,0
508,0
510,0
510,0
510,0
511,0
511,0
512,0
511,0
509,0
508,0
507,0
508,0
509,0
509,0
510,0
510,0
509,0
508,0
505,0
507,0
504,0
505,0
505,0
506,0
506,0
506,0
507,0
508,0
508,0
509,0
509,0
508,0
510,0
510,0
510,0
509,0
508,0
509,0
508,0
507,0
507,0
508,0
510,0
510,0
511,0
510,0
509,0
508,0
507,0
505,0
506,0
507,0
510,0
510,0
509,0
510,0
508,0
508,0
509,0
510,0
511,0
512,0
513,0
513,0
513,0
512,0
511,0
511,0
511,0
511,0
508,0
508,0
507,0
506,0
508,0
509,0
508,0
511,0
510,0
508,0
510,0
511,0
510,0
510,0
511,0
511,0
512,0
511,0
510,0
510,0
511,0
512,0
514,0
514,0
513,0
512,0
511,0
510,0
510,0
511,0
511,0
509,0
511,0
511,0
511,0
509,0
509,0
510,0
511,0
509,0
509,0
508,0
508,0
509,0
508,0
507,0
508,0
509,0
509,0
508,0
509,0
510,0
510,0
510,0
511,0
509,0
509,0
510,0
511,0
510,0
510,0
509,0
510,0
508,0
509,0
508,0
509,0
510,0
508,0
508,0
507,0
508,0
509,0
509,0
509,0
507,0
508,0
508,0
507,0
511,0
510,0
510,0
510,0
508,0
508,0
509,0
510,0
509,0
508,0
507,0
508,0
508,0
510,0
509,0
509,0
511,0
509,0
508,0
508,0
509,0
510,0
510,0
510,0
510,0
510,0
510,0
511,0
512,0
510,0
511,0
512,0
512,0
511,0
509,0
509,0
509,0
509,0
509,0
511,0
511,0
511,0
510,0
510,0
509,0
509,0
509,0
511,0
512,0
510,0
510,0
509,0
508,0
509,0
509,0
509,0
510,0
509,0
511,0
510,0
510,0
510,0
508,0
508,0
507,0
505,0
505,0
506,0
505,0
505,0
507,0
508,0
509,0
510,0
509,0
510,0
511,0
510,0
509,0
510,0
510,0
509,0
508,0
511,0
511,0
510,0
509,0
510,0
510,0
511,0
511,0
511,0
508,0
510,0
508,0
509,0
510,0
510,0
510,0
510,0
508,0
508,0
506,0
507,0
508,0
509,0
508,0
509,0
510,0
510,0
510,0
510,0
509,0
508,0
506,0
506,0
505,0
507,0
508,0
508,0
507,0
508,0
508,0
509,0
507,0
507,0
507,0
508,0
511,0
511,0
510,0
509,0
508,0
507,0
506,0
507,0
508,0
509,0
510,0
510,0
510,0
510,0
510,0
512,0
512,0
512,0
511,0
510,0
511,0
512,0
513,0
513,0
513,0
511,0
510,0
509,0
506,0
507,0
508,0
509,0
510,0
509,0
510,0
510,0
509,0
508,0
507,0
508,0
508,0
508,0
508,0
508,0
509,0
510,0
510,0
511,0
510,0
509,0
511,0
509,0
508,0
508,0
508,0
509,0
510,0
510,0
508,0
508,0
510,0
511,0
512,0
511,0
509,0
510,0
508,0
507,0
508,0
509,0
508,0
511,0
511,0
509,0
509,0
510,0
509,0
511,0
511,0
512,0
511,0
510,0
512,0
512,0
513,0
513,0
512,0
512,0
512,0
510,0
512,0
512,0
510,0
510,0
510,0
511,0
512,0
513,0
512,0
512,0
512,0
512,0
511,0
511,0
511,0
511,0
510,0
509,0
508,0
507,0
505,0
505,0
507,0
508,0
510,0
511,0
511,0
512,0
511,0
511,0
509,0
509,0
509,0
510,0
510,0
511,0
509,0
510,0
509,0
510,0
510,0
510,0
509,0
509,0
508,0
508,0
507,0
507,0
509,0
510,0
512,0
512,0
513,0
513,0
513,0
514,0
514,0
513,0
511,0
510,0
511,0
509,0
506,0
508,0
509,0
511,0
510,0
511,0
511,0
509,0
